Id,UpperDepth,LowerDepth,Value,Lambda,tsme
1169,15,30,22.9995427554489,0.1,0.0311173310225087
1169,30,60,35.7933543377747,0.1,0.0311173310225087
1169,60,100,41.6421022151584,0.1,0.0311173310225087
1169,100,200,-9999,0.1,0.0311173310225087
1311,0,5,42.9452552679063,0.1,0.261369219065421
1311,5,15,48.3913891249668,0.1,0.261369219065421
1311,15,30,61.705608925845,0.1,0.261369219065421
1311,30,60,58.9411211327241,0.1,0.261369219065421
1311,60,100,62.0191019987417,0.1,0.261369219065421
1311,100,200,61.8117181948021,0.1,0.261369219065421
1313,0,5,31.1422939915551,0.1,0.184486044796837
1313,5,15,35.5710259774674,0.1,0.184486044796837
1313,15,30,46.3353311971565,0.1,0.184486044796837
1313,30,60,42.8774589431108,0.1,0.184486044796837
1313,60,100,43.7979478299876,0.1,0.184486044796837
1313,100,200,42.788477413155,0.1,0.184486044796837
2581,0,5,47.1712178473843,0.1,0.0898244613994001
2581,5,15,51.4506026161786,0.1,0.0898244613994001
2581,15,30,60.4005627034893,0.1,0.0898244613994001
2581,30,60,58.4980347253483,0.1,0.0898244613994001
2581,60,100,-9999,0.1,0.0898244613994001
2581,100,200,-9999,0.1,0.0898244613994001
2582,0,5,25.4605343133029,0.1,12.5511204818265
2582,5,15,25.6643138686525,0.1,12.5511204818265
2582,15,30,26.221007737736,0.1,12.5511204818265
2582,30,60,43.7708460858695,0.1,12.5511204818265
2582,60,100,-9999,0.1,12.5511204818265
2582,100,200,-9999,0.1,12.5511204818265
2583,0,5,23.1183027469264,0.1,0.492152584977594
2583,5,15,31.8292633064137,0.1,0.492152584977594
2583,15,30,53.0267486648351,0.1,0.492152584977594
2583,30,60,46.5259866917265,0.1,0.492152584977594
2583,60,100,40.6995983367555,0.1,0.492152584977594
2583,100,200,-9999,0.1,0.492152584977594
2584,0,5,65.8852818314722,0.1,0.00292376412052189
2584,5,15,66.3665603978741,0.1,0.00292376412052189
2584,15,30,67.6813381574863,0.1,0.00292376412052189
2584,30,60,69.488013662115,0.1,0.00292376412052189
2584,60,100,-9999,0.1,0.00292376412052189
2584,100,200,-9999,0.1,0.00292376412052189
2586,0,5,54.7844827586207,0.1,0.00382804727122696
2586,5,15,55.611145320197,0.1,0.00382804727122696
2586,15,30,57.8694581280788,0.1,0.00382804727122696
2586,30,60,59.9153325123153,0.1,0.00382804727122696
2586,60,100,-9999,0.1,0.00382804727122696
2586,100,200,-9999,0.1,0.00382804727122696
2587,0,5,52.465082232499,0.1,0.141172630295282
2587,5,15,55.2271095512301,0.1,0.141172630295282
2587,15,30,61.4499939928783,0.1,0.141172630295282
2587,30,60,49.7669352544154,0.1,0.141172630295282
2587,60,100,35.0902674026606,0.1,0.141172630295282
2587,100,200,24.955078703568,0.1,0.141172630295282
2719,0,5,18.9915627335946,0.1,0.089606720203684
2719,5,15,19.7981072326545,0.1,0.089606720203684
2719,15,30,19.8462264706549,0.1,0.089606720203684
2719,30,60,24.6608637808534,0.1,0.089606720203684
2719,60,100,-9999,0.1,0.089606720203684
2719,100,200,-9999,0.1,0.089606720203684
2721,0,5,17.1257027657598,0.1,0.036528797735128
2721,5,15,18.5832896346298,0.1,0.036528797735128
2721,15,30,15.9451214125535,0.1,0.036528797735128
2721,30,60,11.1896438319705,0.1,0.036528797735128
2721,60,100,-9999,0.1,0.036528797735128
2721,100,200,-9999,0.1,0.036528797735128
2722,0,5,23.0056212200149,0.1,0.00966635753979585
2722,5,15,22.3824465988629,0.1,0.00966635753979585
2722,15,30,18.9137898384941,0.1,0.00966635753979585
2722,30,60,14.191022455282,0.1,0.00966635753979585
2722,60,100,-9999,0.1,0.00966635753979585
2722,100,200,-9999,0.1,0.00966635753979585
2725,0,5,26.2369438042123,0.1,0.150372111045564
2725,5,15,25.1400574002296,0.1,0.150372111045564
2725,15,30,23.3373909616304,0.1,0.150372111045564
2725,30,60,40.4756211810937,0.1,0.150372111045564
2725,60,100,44.6340257231275,0.1,0.150372111045564
2725,100,200,-9999,0.1,0.150372111045564
2726,0,5,34.5986914446054,0.1,0.207186123093585
2726,5,15,41.085783636389,0.1,0.207186123093585
2726,15,30,57.1902097257733,0.1,0.207186123093585
2726,30,60,58.3872589782267,0.1,0.207186123093585
2726,60,100,57.1799064621048,0.1,0.207186123093585
2726,100,200,-9999,0.1,0.207186123093585
3011,0,5,6.04453414709968,0.1,0.00996341088496973
3011,5,15,5.7845902667461,0.1,0.00996341088496973
3011,15,30,5.16334845001755,0.1,0.00996341088496973
3011,30,60,5.60778917289074,0.1,0.00996341088496973
3011,60,100,7.57608859800474,0.1,0.00996341088496973
3011,100,200,6.63467698496332,0.1,0.00996341088496973
3012,0,5,6.96028142414663,0.1,0.00379384370933483
3012,5,15,7.19211702450813,0.1,0.00379384370933483
3012,15,30,7.84248781296032,0.1,0.00379384370933483
3012,30,60,9.30823655403869,0.1,0.00379384370933483
3012,60,100,9.81532638491663,0.1,0.00379384370933483
3012,100,200,6.42871232606877,0.1,0.00379384370933483
3013,0,5,1,0.1,0.00232898330101117
3013,5,15,1,0.1,0.00232898330101117
3013,15,30,1,0.1,0.00232898330101117
3013,30,60,1,0.1,0.00232898330101117
3013,60,100,1,0.1,0.00232898330101117
3013,100,200,1,0.1,0.00232898330101117
3014,0,5,5.08721658870054,0.1,0.0184403058653635
3014,5,15,4.57813715248107,0.1,0.0184403058653635
3014,15,30,3.32445271347946,0.1,0.0184403058653635
3014,30,60,3.54720766541922,0.1,0.0184403058653635
3014,60,100,8.9753558163558,0.1,0.0184403058653635
3014,100,200,8.9827946527712,0.1,0.0184403058653635
3017,0,5,4.00659476787665,0.1,0.00504170948561545
3017,5,15,3.96810139450968,0.1,0.00504170948561545
3017,15,30,4.00799257193746,0.1,0.00504170948561545
3017,30,60,6.57566192101608,0.1,0.00504170948561545
3017,60,100,8.0399237119445,0.1,0.00504170948561545
3017,100,200,7.99961352980929,0.1,0.00504170948561545
3847,0,5,47.5353187595399,0.1,0.032503909045076
3847,5,15,49.4848017761576,0.1,0.032503909045076
3847,15,30,54.0337548707448,0.1,0.032503909045076
3847,30,60,50.8509697423146,0.1,0.032503909045076
3847,60,100,-9999,0.1,0.032503909045076
3847,100,200,-9999,0.1,0.032503909045076
4092,0,5,16.0260678577282,0.1,2.17275849204993
