Id,UpperDepth,LowerDepth,Value,Lambda,tsme
1,0,1,52.1727071772407,0.1,0.0721638561094126
1,1,2,52.2147133930505,0.1,0.0721638561094126
1,2,3,52.3407320404798,0.1,0.0721638561094126
1,3,4,52.5507631195287,0.1,0.0721638561094126
1,4,5,52.8448066301971,0.1,0.0721638561094126
1,5,6,53.2228625724851,0.1,0.0721638561094126
1,6,7,53.6849309463926,0.1,0.0721638561094126
1,7,8,54.2310117519197,0.1,0.0721638561094126
1,8,9,54.8611049890663,0.1,0.0721638561094126
1,9,10,55.5332044420227,0.1,0.0721638561094126
1,10,11,56.2053038949791,0.1,0.0721638561094126
1,11,12,56.8234901442608,0.1,0.0721638561094126
1,12,13,57.3338499861928,0.1,0.0721638561094126
1,13,14,57.7363834207753,0.1,0.0721638561094126
1,14,15,58.0310904480083,0.1,0.0721638561094126
1,15,16,58.2179710678916,0.1,0.0721638561094126
1,16,17,58.2970252804254,0.1,0.0721638561094126
1,17,18,58.2682530856096,0.1,0.0721638561094126
1,18,19,58.1316544834443,0.1,0.0721638561094126
1,19,20,57.8872294739294,0.1,0.0721638561094126
1,20,21,57.5349780570649,0.1,0.0721638561094126
1,21,22,57.1288134365256,0.1,0.0721638561094126
1,22,23,56.7226488159864,0.1,0.0721638561094126
1,23,24,56.3164841954471,0.1,0.0721638561094126
1,24,25,55.9103195749078,0.1,0.0721638561094126
1,25,26,55.5041549543686,0.1,0.0721638561094126
1,26,27,55.0979903338293,0.1,0.0721638561094126
1,27,28,54.69182571329,0.1,0.0721638561094126
1,28,29,54.2856610927508,0.1,0.0721638561094126
1,29,30,53.8794964722115,0.1,0.0721638561094126
1,30,31,53.4733318516722,0.1,0.0721638561094126
1,31,32,53.085226096305,0.1,0.0721638561094126
1,32,33,52.7332380712817,0.1,0.0721638561094126
1,33,34,52.4173677766025,0.1,0.0721638561094126
1,34,35,52.1376152122672,0.1,0.0721638561094126
1,35,36,51.893980378276,0.1,0.0721638561094126
1,36,37,51.6864632746288,0.1,0.0721638561094126
1,37,38,51.5150639013255,0.1,0.0721638561094126
1,38,39,51.3797822583663,0.1,0.0721638561094126
1,39,40,51.2806183457511,0.1,0.0721638561094126
1,40,41,51.2175721634799,0.1,0.0721638561094126
1,41,42,51.1725848463807,0.1,0.0721638561094126
1,42,43,51.1275975292815,0.1,0.0721638561094126
1,43,44,51.0826102121823,0.1,0.0721638561094126
1,44,45,51.0376228950831,0.1,0.0721638561094126
1,45,46,50.9926355779839,0.1,0.0721638561094126
1,46,47,50.9476482608847,0.1,0.0721638561094126
1,47,48,50.9026609437854,0.1,0.0721638561094126
1,48,49,50.8576736266862,0.1,0.0721638561094126
1,49,50,50.812686309587,0.1,0.0721638561094126
1,50,51,50.7676989924878,0.1,0.0721638561094126
1,51,52,50.7227116753886,0.1,0.0721638561094126
1,52,53,50.6777243582894,0.1,0.0721638561094126
1,53,54,50.6327370411902,0.1,0.0721638561094126
1,54,55,50.587749724091,0.1,0.0721638561094126
1,55,56,50.5427624069918,0.1,0.0721638561094126
1,56,57,50.4977750898926,0.1,0.0721638561094126
1,57,58,50.4527877727934,0.1,0.0721638561094126
1,58,59,50.4078004556942,0.1,0.0721638561094126
1,59,60,50.362813138595,0.1,0.0721638561094126
1,60,61,50.3178258214958,0.1,0.0721638561094126
1,61,62,50.2728385043966,0.1,0.0721638561094126
1,62,63,50.2278511872974,0.1,0.0721638561094126
1,63,64,50.1828638701981,0.1,0.0721638561094126
1,64,65,50.1378765530989,0.1,0.0721638561094126
1,65,66,50.0928892359997,0.1,0.0721638561094126
1,66,67,50.0479019189005,0.1,0.0721638561094126
1,67,68,50.0029146018013,0.1,0.0721638561094126
1,68,69,49.9579272847021,0.1,0.0721638561094126
1,69,70,49.9129399676029,0.1,0.0721638561094126
1,70,71,49.8679526505037,0.1,0.0721638561094126
1,71,72,49.8252146992595,0.1,0.0721638561094126
1,72,73,49.7869754797251,0.1,0.0721638561094126
1,73,74,49.7532349919007,0.1,0.0721638561094126
1,74,75,49.7239932357862,0.1,0.0721638561094126
1,75,76,49.6992502113817,0.1,0.0721638561094126
1,76,77,49.679005918687,0.1,0.0721638561094126
1,77,78,49.6632603577023,0.1,0.0721638561094126
1,78,79,49.6520135284275,0.1,0.0721638561094126
1,79,80,49.6452654308626,0.1,0.0721638561094126
2,0,1,60.7299225800766,0.1,0.00763466666471907
2,1,2,60.7445308992841,0.1,0.00763466666471907
2,2,3,60.7883558569066,0.1,0.00763466666471907
2,3,4,60.8613974529441,0.1,0.00763466666471907
2,4,5,60.9636556873966,0.1,0.00763466666471907
2,5,6,61.0951305602642,0.1,0.00763466666471907
2,6,7,61.2558220715467,0.1,0.00763466666471907
2,7,8,61.4457302212443,0.1,0.00763466666471907
2,8,9,61.6648550093568,0.1,0.00763466666471907
2,9,10,61.9131964358844,0.1,0.00763466666471907
2,10,11,62.190754500827,0.1,0.00763466666471907
2,11,12,62.4729898420201,0.1,0.00763466666471907
2,12,13,62.7353630972992,0.1,0.00763466666471907
2,13,14,62.9778742666642,0.1,0.00763466666471907
2,14,15,63.2005233501153,0.1,0.00763466666471907
2,15,16,63.4033103476523,0.1,0.00763466666471907
2,16,17,63.5862352592754,0.1,0.00763466666471907
2,17,18,63.7492980849844,0.1,0.00763466666471907
2,18,19,63.8924988247795,0.1,0.00763466666471907
2,19,20,64.0158374786605,0.1,0.00763466666471907
2,20,21,64.1193140466275,0.1,0.00763466666471907
2,21,22,64.2128595716375,0.1,0.00763466666471907
2,22,23,64.3064050966475,0.1,0.00763466666471907
2,23,24,64.3999506216575,0.1,0.00763466666471907
2,24,25,64.4934961466675,0.1,0.00763466666471907
2,25,26,64.5870416716776,0.1,0.00763466666471907
2,26,27,64.6805871966876,0.1,0.00763466666471907
2,27,28,64.7741327216976,0.1,0.00763466666471907
2,28,29,64.8676782467076,0.1,0.00763466666471907
2,29,30,64.9612237717176,0.1,0.00763466666471907
2,30,31,65.0547692967276,0.1,0.00763466666471907
2,31,32,65.1434794169306,0.1,0.00763466666471907
2,32,33,65.2225187275196,0.1,0.00763466666471907
2,33,34,65.2918872284945,0.1,0.00763466666471907
2,34,35,65.3515849198555,0.1,0.00763466666471907
2,35,36,65.4016118016024,0.1,0.00763466666471907
2,36,37,65.4419678737352,0.1,0.00763466666471907
2,37,38,65.4726531362541,0.1,0.00763466666471907
2,38,39,65.4936675891589,0.1,0.00763466666471907
2,39,40,65.5050112324497,0.1,0.00763466666471907
2,40,41,65.5066840661265,0.1,0.00763466666471907
2,41,42,65.5035214949963,0.1,0.00763466666471907
2,42,43,65.500358923866,0.1,0.00763466666471907
2,43,44,65.4971963527358,0.1,0.00763466666471907
2,44,45,65.4940337816056,0.1,0.00763466666471907
2,45,46,65.4908712104753,0.1,0.00763466666471907
2,46,47,65.4877086393451,0.1,0.00763466666471907
2,47,48,65.4845460682149,0.1,0.00763466666471907
2,48,49,65.4813834970846,0.1,0.00763466666471907
2,49,50,65.4782209259544,0.1,0.00763466666471907
2,50,51,65.4750583548242,0.1,0.00763466666471907
2,51,52,65.4718957836939,0.1,0.00763466666471907
2,52,53,65.4687332125637,0.1,0.00763466666471907
2,53,54,65.4655706414335,0.1,0.00763466666471907
2,54,55,65.4624080703032,0.1,0.00763466666471907
2,55,56,65.459245499173,0.1,0.00763466666471907
2,56,57,65.4560829280428,0.1,0.00763466666471907
2,57,58,65.4529203569126,0.1,0.00763466666471907
2,58,59,65.4497577857823,0.1,0.00763466666471907
2,59,60,65.4465952146521,0.1,0.00763466666471907
2,60,61,65.4434326435219,0.1,0.00763466666471907
2,61,62,65.4402700723916,0.1,0.00763466666471907
2,62,63,65.4371075012614,0.1,0.00763466666471907
2,63,64,65.4339449301312,0.1,0.00763466666471907
2,64,65,65.4307823590009,0.1,0.00763466666471907
2,65,66,65.4276197878707,0.1,0.00763466666471907
2,66,67,65.4244572167405,0.1,0.00763466666471907
2,67,68,65.4212946456102,0.1,0.00763466666471907
2,68,69,65.41813207448,0.1,0.00763466666471907
2,69,70,65.4149695033498,0.1,0.00763466666471907
2,70,71,65.4118069322195,0.1,0.00763466666471907
2,71,72,65.4088024896458,0.1,0.00763466666471907
2,72,73,65.4061143041851,0.1,0.00763466666471907
2,73,74,65.4037423758374,0.1,0.00763466666471907
2,74,75,65.4016867046028,0.1,0.00763466666471907
2,75,76,65.3999472904812,0.1,0.00763466666471907
2,76,77,65.3985241334726,0.1,0.00763466666471907
2,77,78,65.397417233577,0.1,0.00763466666471907
2,78,79,65.3966265907944,0.1,0.00763466666471907
2,79,80,65.3961522051249,0.1,0.00763466666471907
3,0,1,66.6070092283559,0.1,0.00430975676327219
3,1,2,66.6199246133065,0.1,0.00430975676327219
3,2,3,66.6586707681582,0.1,0.00430975676327219
3,3,4,66.723247692911,0.1,0.00430975676327219
3,4,5,66.813655387565,0.1,0.00430975676327219
3,5,6,66.9298938521201,0.1,0.00430975676327219
3,6,7,67.0719630865764,0.1,0.00430975676327219
3,7,8,67.2269477059832,0.1,0.00430975676327219
3,8,9,67.38193232539,0.1,0.00430975676327219
3,9,10,67.5369169447968,0.1,0.00430975676327219
3,10,11,67.6919015642037,0.1,0.00430975676327219
3,11,12,67.8403009996143,0.1,0.00430975676327219
3,12,13,67.9755300670324,0.1,0.00430975676327219
3,13,14,68.0975887664581,0.1,0.00430975676327219
3,14,15,68.2064770978913,0.1,0.00430975676327219
3,15,16,68.3021950613321,0.1,0.00430975676327219
3,16,17,68.3847426567804,0.1,0.00430975676327219
3,17,18,68.4541198842362,0.1,0.00430975676327219
3,18,19,68.5103267436997,0.1,0.00430975676327219
3,19,20,68.5533632351706,0.1,0.00430975676327219
3,20,21,68.5832293586491,0.1,0.00430975676327219
3,21,22,68.6065102981314,0.1,0.00430975676327219
3,22,23,68.6297912376136,0.1,0.00430975676327219
